currency,pathway,quarter,p05,p10,p25,p50,p75,p90,p95
USD,accretion,2026Q2,55.751753197551245,56.09723423259105,56.607026135389546,56.94850700509815,57.429294176170174,57.91141587385402,58.097782162346206
USD,accretion,2026Q3,55.16365505119212,55.5635722495276,56.19298103463086,56.81818864042498,57.47241342770643,58.034468291979785,58.37409712112393
USD,accretion,2026Q4,54.58133157908584,55.08895424022393,55.85161711972515,56.65464161271959,57.45913935203252,58.15355835526982,58.586821510549996
USD,accretion,2027Q1,54.0866122874838,54.66129222935048,55.54185408368951,56.48513592807898,57.432617128239244,58.22657612421913,58.738587646950926
USD,accretion,2027Q2,53.578525539416695,54.24330816444709,55.271610064579434,56.32158956687911,57.39034600694805,58.313024453531725,58.892056142611764
USD,accretion,2027Q3,53.10993128240117,53.89957974989899,54.99260531774904,56.164057054836476,57.3304041903085,58.40048265342362,58.9733512328383
USD,accretion,2027Q4,52.69143326600369,53.476525110238036,54.69047918967777,56.00911892701366,57.29189338153016,58.41717524991679,59.05653675444073
USD,accretion,2028Q1,52.301765533743676,53.13798518009864,54.42013988979672,55.846897608185486,57.232203608959075,58.43935100820372,59.14822070512592
USD,accretion,2028Q2,51.905143637573,52.78005384289242,54.162053400064465,55.671373840221705,57.135921643839794,58.480526498546574,59.2164131497673
USD,accretion,2028Q3,51.556098600450326,52.42505810966849,53.91312051985466,55.49759010389991,57.076173202031256,58.470325306788595,59.28966829233875
USD,accretion,2028Q4,51.166096837346366,52.09166958670849,53.637209672070775,55.32603282530488,57.01733715376696,58.49061036411576,59.327142374090954
USD,accretion,2029Q1,50.80534242659916,51.72825205758279,53.38153472156711,55.16176908740308,56.95427841616265,58.54870724908051,59.42941761129623
USD,accretion,2029Q2,50.39455740230336,51.40208630004326,53.11154095197745,54.99162921082874,56.85659617043525,58.5071238617642,59.450411138276834
USD,accretion,2029Q3,50.05686407380044,51.08265213042863,52.869767130068645,54.82494807689494,56.782013068706384,58.55136734809358,59.50729172579855
USD,accretion,2029Q4,49.65224753393824,50.778346099367205,52.6388022264763,54.691131406933074,56.71815472903566,58.50648600617512,59.551249563051236
USD,accretion,2030Q1,49.353120915520286,50.48926886389256,52.388211622183135,54.52541763601759,56.61430915620636,58.457751449369916,59.588656493042485
USD,accretion,2030Q2,48.94081093851174,50.20163271639053,52.12371852867018,54.35620433417166,56.50782215205302,58.49293090164951,59.61178025030368
USD,accretion,2030Q3,48.66168789240346,49.842659405375414,51.859692051760675,54.148055127425025,56.41666261605049,58.492890028902046,59.692418904746816
USD,accretion,2030Q4,48.211369315522845,49.480510095512535,51.62141623578383,53.97908067485551,56.31878403806312,58.4801181444508,59.74039612323085
USD,accretion,2031Q1,47.806298798827,49.12625931746009,51.449131765434046,53.815012014658365,56.252210021112475,58.39378456274815,59.69917511474429
USD,accretion,2031Q2,47.40237043045283,48.83524027338229,51.21963665672257,53.66317849410437,56.12692005002715,58.45368659206627,59.72651288847582
USD,accretion,2031Q3,47.10860364730125,48.53246201075142,50.951400177832824,53.49232905970783,56.01245847242883,58.387030822989246,59.76222436064388
USD,accretion,2031Q4,46.78264395302531,48.24493587795988,50.72054383493959,53.36499890797704,55.96241226811158,58.3416184057768,59.757771279636344
USD,accretion,2032Q1,46.40795092396283,47.93362111853648,50.475805328763784,53.20664287046735,55.82659783896844,58.33357957884089,59.77079562342351
USD,accretion,2032Q2,46.02743041447476,47.632078894560145,50.2039563594172,53.062330470848536,55.80546145184587,58.30871528870716,59.75051025317851
USD,accretion,2032Q3,45.71001395992874,47.342145295283004,49.97953683862855,52.854178545195076,55.69197350537449,58.264223091583716,59.72143614057542
USD,accretion,2032Q4,45.336844736813774,47.14567154947552,49.75017105497295,52.68418636939862,55.560010500375896,58.2594048667537,59.78392607988056
USD,accretion,2033Q1,44.952365078679335,46.81685850133107,49.497428465485726,52.54415985025433,55.487290302234555,58.26519347514357,59.81452226028577
USD,accretion,2033Q2,44.64870412043314,46.453732648934675,49.29665282927349,52.36935158060071,55.394848604513115,58.290899045959186,59.83800375709406
USD,accretion,2033Q3,44.39140705163095,46.15613169060934,49.04850120208459,52.17244942308753,55.29610383019388,58.23746568501377,59.82495075906388
USD,accretion,2033Q4,44.075759906746256,45.8471409060778,48.796166584071706,51.999208934860334,55.19011283365172,58.21276517547303,59.82472395838601
USD,accretion,2034Q1,43.7435476149072,45.63083116370085,48.56220748451434,51.79177024418945,55.06157781686031,58.128523223860356,59.85939945537195
USD,accretion,2034Q2,43.39311308658293,45.36345855557155,48.38678853509818,51.65600732861003,55.015481938911584,58.048416013794096,59.83499270119508
USD,accretion,2034Q3,43.07589332854695,45.01175143166613,48.11696373289949,51.49597665131763,54.919835421264835,58.08825594381725,59.806280745827515
USD,accretion,2034Q4,42.74676574496661,44.71869435286107,47.84073086478123,51.378793014012544,54.824728406521515,57.98973074388298,59.82736938768491
USD,accretion,2035Q1,42.42886912226015,44.419134735981224,47.60678668241873,51.24961995873197,54.7367708442391,57.961475477340095,59.92137727679226
USD,accretion,2035Q2,42.179563218620366,44.12171163501982,47.361402298360034,51.08150781817463,54.65786742547703,57.98264893270591,59.92621032047015
USD,accretion,2035Q3,41.896581299654,43.84877232209546,47.15730971235087,50.88134437576985,54.55026970836691,57.91967206932019,59.88083818231228
USD,accretion,2035Q4,41.56272194666743,43.52182608487897,46.9328099439538,50.70689078235125,54.46602091819643,57.8442801257327,59.967870888308
USD,retrenchment,2026Q2,55.766909288739676,56.12517671956531,56.613685359865585,56.99584040959208,57.465784664776,57.94353671338079,58.147893681249265
USD,retrenchment,2026Q3,55.20949252965141,55.608396060553815,56.26945558312626,56.92052887674422,57.588761857381314,58.161870927824005,58.4836192118869
USD,retrenchment,2026Q4,54.70499260057084,55.190895860119895,55.97009971543486,56.808761382243425,57.639445261061,58.36822857923306,58.76233140669908
USD,retrenchment,2027Q1,54.20334664024239,54.765885580043054,55.70561799942862,56.71365090669414,57.69248665211494,58.552788006193026,59.04380104860167
USD,retrenchment,2027Q2,53.71516011879596,54.37961117716514,55.46236436025944,56.59782402012556,57.73183711907584,58.6906576851537,59.20931172803322
USD,retrenchment,2027Q3,53.36015667686152,54.03116161957276,55.21873784920956,56.47855415445947,57.74054835458338,58.78808275918663,59.38072236248615
USD,retrenchment,2027Q4,52.889561947030565,53.70593681698074,54.980019093378054,56.4018999583017,57.71275752214612,58.87042387611618,59.569888448737515
USD,retrenchment,2028Q1,52.55947027822569,53.398298981863405,54.7498182418034,56.241022377815554,57.693823090220114,58.96275474298209,59.73946646336223
USD,retrenchment,2028Q2,52.14188355768742,53.029643963495836,54.54183033472158,56.147439074729135,57.67921174242305,59.056209208091715,59.86283429252081
USD,retrenchment,2028Q3,51.80604518879453,52.74350676515544,54.31288048358926,56.024368524673854,57.69992103798043,59.149862364397215,60.05950625657981
USD,retrenchment,2028Q4,51.423097717997685,52.462039266384224,54.07745566247172,55.903746378697896,57.679179448648654,59.24222487010433,60.168802869151094
USD,retrenchment,2029Q1,51.027243347558624,52.14495658462321,53.8971794071886,55.80324509783365,57.625840308655576,59.31669381438869,60.307049930296316
USD,retrenchment,2029Q2,50.64222806132053,51.82392346564874,53.71666824152449,55.69715195523611,57.64164504540752,59.39309949185769,60.48374359845362
USD,retrenchment,2029Q3,50.35484530418543,51.495781301583506,53.497543895074955,55.59030807579459,57.63792291116159,59.46819025588053,60.573705537025546
USD,retrenchment,2029Q4,49.993613153182714,51.243957122018735,53.332121879600585,55.45993150437488,57.60675712632283,59.56659725117624,60.697762028617156
USD,retrenchment,2030Q1,49.68105690918558,50.96446529064422,53.11829349936538,55.36764580961202,57.58600196062642,59.610424686983855,60.74307047828549
USD,retrenchment,2030Q2,49.30887647754582,50.633202526056124,52.91947118260881,55.23092944358399,57.61036624532214,59.67866661307736,60.85573351284821
USD,retrenchment,2030Q3,48.98405109770959,50.33293054856876,52.65515752184669,55.1281973613702,57.565197826502306,59.73117469826801,60.943017306028445
USD,retrenchment,2030Q4,48.741827163278614,50.097294014309185,52.44517138343827,55.02477537000823,57.5206991138034,59.74420293972106,61.04243906521521
USD,retrenchment,2031Q1,48.338610844070985,49.804255803002995,52.2410288311287,54.882784500603414,57.52977846825482,59.811010719598016,61.171450686117645
USD,retrenchment,2031Q2,48.019203614076865,49.48711693972337,52.02133031678474,54.78452549332255,57.52127462199003,59.84754274789646,61.29155437834158
USD,retrenchment,2031Q3,47.78016874611366,49.252365629600014,51.83354889615667,54.645819909358494,57.47231429598556,59.99180712298266,61.36583709499532
USD,retrenchment,2031Q4,47.33425967390823,48.954140649588524,51.654531665576684,54.526888181529316,57.429576440712964,60.0403498072037,61.453542138649766
USD,retrenchment,2032Q1,47.070812083424876,48.677898712974034,51.436487753053946,54.3956721476567,57.44897864515392,60.049492050631436,61.64533356588584
USD,retrenchment,2032Q2,46.72150362206755,48.4096285809245,51.244279046810135,54.31223872591245,57.374360497052564,60.124661780421675,61.714214388621265
USD,retrenchment,2032Q3,46.35763721346736,48.137790911396436,51.01240272167486,54.18690132455232,57.43277113466895,60.179477424325704,61.83898552900782
USD,retrenchment,2032Q4,45.99563117301079,47.88111191564077,50.84220819171279,54.117085627449406,57.36518940315965,60.23258996666103,61.90158601405774
USD,retrenchment,2033Q1,45.67267349202536,47.59895724030799,50.66097200885412,53.97971507187892,57.375886482783336,60.26612255105638,62.044600452975175
USD,retrenchment,2033Q2,45.387789811058724,47.340207284051736,50.48182723497793,53.892172371296425,57.33589120636641,60.34769471042412,62.191023480357956
USD,retrenchment,2033Q3,45.1969414767306,47.10336153611088,50.214030168341615,53.79708047926904,57.31587975908364,60.391275554273,62.22109047980396
USD,retrenchment,2033Q4,44.82253146654911,46.80463740963459,50.039796851018124,53.70042042575814,57.2583089620701,60.448556811094974,62.288285901707866
USD,retrenchment,2034Q1,44.491719998610506,46.56251984559174,49.82317926082744,53.54969310833462,57.242773312172496,60.4808948132158,62.51032119807102
USD,retrenchment,2034Q2,44.18383497700469,46.22089728304991,49.60423171319533,53.47701938167454,57.18942590974051,60.53440339790444,62.57285497320261
USD,retrenchment,2034Q3,43.87195891407619,45.92780164785651,49.350174244204624,53.330394376406666,57.17237161988339,60.62443392944631,62.65678266435889
USD,retrenchment,2034Q4,43.46045511656862,45.6738410706804,49.20129167879708,53.20746289012214,57.15356604745054,60.67190398091437,62.78209196856062
USD,retrenchment,2035Q1,43.24526904928789,45.41743469617312,49.09775002322583,53.13556527867307,57.11884769218702,60.76595870002136,62.82541056303031
USD,retrenchment,2035Q2,42.86047565800036,45.13903153804761,48.95126508412656,53.05875951126299,57.05248907411047,60.79803788553913,62.93559678974277
USD,retrenchment,2035Q3,42.530955571461725,44.89214836009523,48.71285421475879,52.91233499568793,57.03439640538739,60.92513126750647,62.93672383734753
USD,retrenchment,2035Q4,42.195820149593416,44.636566359601325,48.531176558865766,52.82682163320721,57.008666534779564,60.89440561686583,63.08759352989847
USD,demonstration,2026Q2,55.7138477104179,56.08672832066894,56.58821697314306,56.953012369142456,57.43490222591667,57.926845700028025,58.124479230010714
USD,demonstration,2026Q3,55.14412669780908,55.54648344416829,56.19160971304815,56.821576966508246,57.487895538879854,58.04945132787118,58.36231905400075
USD,demonstration,2026Q4,54.556444502784345,55.038347229284184,55.84569922683661,56.670554175156965,57.47669586441739,58.18185733848062,58.615019154102114
USD,demonstration,2027Q1,54.036556622677,54.597008506273106,55.52292286393893,56.50000678795803,57.45361799815867,58.30193763908342,58.82371145610894
USD,demonstration,2027Q2,53.57554785419817,54.213642159292604,55.25815654751847,56.30445446964711,57.43345887317913,58.407031160814064,58.960168237407544
USD,demonstration,2027Q3,53.05834523956419,53.87239903772854,54.97734746264656,56.178610202172536,57.35254170467944,58.43880533074258,59.12104268860534
USD,demonstration,2027Q4,52.702547720808745,53.47920699073564,54.72005171121742,56.023381966661105,57.29440950847235,58.46206520987033,59.137068805235856
USD,demonstration,2028Q1,52.23588443598556,53.1626319545065,54.44166768944249,55.87220600220206,57.24164829169461,58.48099400040843,59.22312659019297
USD,demonstration,2028Q2,51.91845540212634,52.82184652227726,54.206030829052864,55.71929788956788,57.22206635078242,58.53966018928124,59.318113460858115
USD,demonstration,2028Q3,51.58281073514438,52.50838377332048,54.00784342208204,55.56118542974349,57.187697499773755,58.58334608022996,59.418087212832845
USD,demonstration,2028Q4,51.27379736530808,52.18973021154763,53.77006203009046,55.426069574112745,57.12669322371487,58.61552990135389,59.54586240209254
USD,demonstration,2029Q1,50.881527352508286,51.933975883305365,53.529670462209765,55.29384203207425,57.06452918350589,58.712435222268695,59.5964006652195
USD,demonstration,2029Q2,50.50620596192752,51.60631465799569,53.302172239145335,55.176592668085625,57.0510246878158,58.75594064561915,59.699264644510585
USD,demonstration,2029Q3,50.199606700126374,51.316918390768855,53.074207585996334,55.049385062591156,57.02741751075162,58.783722706013606,59.7778440219281
USD,demonstration,2029Q4,49.89866068499903,50.99135436356771,52.8968553373788,54.923463548596814,56.982585776828444,58.79736011250594,59.86806543507717
