block,resid
Indo-Pacific allies,0.5522456954287998
Indo-Pacific allies,1.4239630356979365
Indo-Pacific allies,1.530481218291166
Indo-Pacific allies,-1.1787129357447599
Indo-Pacific allies,-1.0181329536258485
Indo-Pacific allies,-0.44007174304221586
Indo-Pacific allies,-1.2096542471289515
Indo-Pacific allies,-4.182557404252172
Indo-Pacific allies,-2.363599329490259
Indo-Pacific allies,-1.8825391343193203
Indo-Pacific allies,-0.7878434105088128
Indo-Pacific allies,-0.5590421677740443
Indo-Pacific allies,-1.3616784218445366
Indo-Pacific allies,-1.7262604838675273
Indo-Pacific allies,-0.7519870643560904
Indo-Pacific allies,-0.9577942120977561
Indo-Pacific allies,1.2153353488167307
Indo-Pacific allies,0.8610780613357534
Indo-Pacific allies,2.9116611036453315
Indo-Pacific allies,-1.6493490434557394
Indo-Pacific allies,-2.2136196193413142
Indo-Pacific allies,-1.9252382975158637
Indo-Pacific allies,-1.2523996622996654
Indo-Pacific allies,1.5674101479972689
Indo-Pacific allies,3.079098721531228
Indo-Pacific allies,1.0351264667531155
Indo-Pacific allies,-0.7586493059354416
Indo-Pacific allies,0.5913512105629226
Indo-Pacific allies,2.4356189304678697
Indo-Pacific allies,0.519239860619439
Indo-Pacific allies,3.038872074699741
Indo-Pacific allies,-3.7500378838276096
Indo-Pacific allies,2.2763147073533685
Indo-Pacific allies,3.4360993839874676
Indo-Pacific allies,3.4952713532398225
NATO Europe,-3.1967059923280914
NATO Europe,-1.7803588296206205
NATO Europe,-3.2713091966179695
NATO Europe,-4.380150815056694
NATO Europe,-5.228581365873679
NATO Europe,0.26318522219183527
NATO Europe,-0.5565829917376862
NATO Europe,-0.7312474632760435
NATO Europe,1.4824319956565633
NATO Europe,1.3035549368895802
NATO Europe,-2.079549989745726
NATO Europe,2.024871112525922
NATO Europe,-1.5858784530954875
NATO Europe,-4.031992299855997
NATO Europe,-3.528451641749295
NATO Europe,-1.8128387082555006
NATO Europe,0.4613232335186841
NATO Europe,-0.05545689961296496
NATO Europe,-1.3548525665915858
NATO Europe,-3.9819833869582473
NATO Europe,-6.010025674383696
NATO Europe,-2.643416071989904
NATO Europe,-2.852025977450066
NATO Europe,0.254244502871221
NATO Europe,1.6884738095218985
NATO Europe,1.8702337211362807
NATO Europe,1.2228606886623552
NATO Europe,3.2503213423139625
NATO Europe,2.5127426973611082
NATO Europe,1.2150125605867377
NATO Europe,0.3125419504705014
NATO Europe,1.2664763047719134
NATO Europe,6.958704562694333
NATO Europe,11.691808760514137
NATO Europe,11.302620922512224
Hedging middle powers,-9.677579947912317
Hedging middle powers,-7.121419565854133
Hedging middle powers,3.333586591103913
Hedging middle powers,-0.2463538156527878
Hedging middle powers,-1.0870880736135125
Hedging middle powers,-0.876039719422049
Hedging middle powers,22.110455863226015
Hedging middle powers,4.307744103666604
Hedging middle powers,-1.5641614624391487
Hedging middle powers,3.4704191655911973
Hedging middle powers,1.3959914805824223
Hedging middle powers,-8.127511583188756
Hedging middle powers,-5.641564827932378
Hedging middle powers,3.160256432899593
Hedging middle powers,2.8499615975356294
Hedging middle powers,0.897570919625367
Hedging middle powers,3.9663818023602904
Hedging middle powers,1.1643248170912903
Hedging middle powers,4.331339364230675
Hedging middle powers,-1.743539410491957
Hedging middle powers,-1.5017615008054421
Hedging middle powers,2.575023972130972
Hedging middle powers,6.989648149959631
Hedging middle powers,5.688198831346919
Hedging middle powers,-9.335213844332635
Hedging middle powers,-13.730301789810435
Hedging middle powers,4.846536524982531
Hedging middle powers,0.2447218209653923
Hedging middle powers,-5.747527181725345
Hedging middle powers,-5.45880376374822
Hedging middle powers,-6.266642968533751
Hedging middle powers,2.729737352684849
Hedging middle powers,2.2678466748789945
Hedging middle powers,-1.5752304621210826
Hedging middle powers,3.370994452721659
United States,5.053338898508246
United States,73.9112111874999
United States,32.11220433585961
United States,0.7637371690034573
United States,-16.906950934348117
United States,-7.640673834740282
United States,-0.851745860943927
United States,0.6617897635772625
United States,-2.7466649599803343
United States,-1.4536841932251203
United States,-4.643661498334735
United States,1.9911239850392821
United States,5.873476939833859
United States,-3.522816558185367
United States,-5.542502830959746
United States,-1.7146410693017327
United States,14.601973948243378
United States,11.656557100767133
United States,1.0094257055360973
United States,-6.643855145390949
United States,-9.758920656028065
United States,-12.718108746781416
United States,-2.295584314824202
United States,-7.2467477522046035
United States,-3.466044553582888
United States,-7.800028481937423
United States,-4.909574307652916
United States,1.552840529094583
United States,-1.521056453634058
United States,-1.5793682036185768
United States,-2.3826920753851137
United States,8.631721773601202
United States,14.625248136084716
United States,-4.525690560237868
United States,2.8998561695165055
United States,4.80266112117768
United States,4.248967550228892
United States,-2.9755373382003807
United States,-4.265754703865239
United States,-3.00005666901569
United States,-6.400321668974625
United States,-14.55275174538851
United States,3.0884179676041885
United States,-7.651825988424006
United States,-7.490034342998937
United States,-8.969426355513972
United States,-7.744636434121828
United States,-2.6703088826280545
United States,-4.435563324127541
United States,-1.9058751521674093
United States,1.6451356244889954
United States,-1.342772267091659
United States,9.431696789388548
United States,10.790087779629014
United States,6.458783569561215
United States,2.3513109276582274
United States,-0.7209675533065134
United States,0.4817471273680969
United States,4.870299642257907
United States,5.4230331054969145
United States,0.6668963214775321
United States,-3.342831773351625
United States,-7.866359902140514
United States,-10.155468799755381
United States,-8.500193037371913
United States,-4.448695391800824
United States,-2.4589851942870293
United States,-3.1873469024636574
United States,0.8136717092382657
United States,3.3751371158622963
United States,2.4482266746816013
United States,-3.2292675259090924
United States,-3.313589521949252
United States,0.04401673983952925
United States,4.202669031366428
United States,-9.98768097333947
China,0.5085716428938865
China,-1.7412492036741982
China,11.72505599917584
China,-16.22508891694314
China,-11.6956687994717
China,-4.049437878542659
China,-2.0705478892008005
China,-1.3742396725365795
China,0.9476413037152538
China,11.96774919642272
China,0.07491264621484373
China,9.193803687566085
China,6.007443691508587
China,0.06134985796715409
China,1.8226682136216494
China,1.5186998012176174
China,6.226648240761381
China,1.6216748708133961
China,1.1519768486145905
China,11.503756106084698
China,-3.0342743314443625
China,-0.7481922114827215
China,1.9381635775417534
China,-0.02511873832220335
China,-0.16261336436682416
China,-0.2846451185600545
China,-2.2451770349393145
China,-1.873675842013232
China,-2.149640405429108
China,-3.085339257738771
China,-3.236335302054603
China,-5.2712390032032745
China,-3.5190476558733623
China,-1.46169668970406
China,-1.3247031145540804
China,-0.692185254064424
Rest of world,-12.537438349782992
Rest of world,-11.572912055838291
Rest of world,-13.493496293794582
Rest of world,7.707588892327333
Rest of world,-6.849863848369974
Rest of world,-4.923092104986903
Rest of world,-14.221333152485204
Rest of world,-3.624479132471247
Rest of world,1.3627436656049494
Rest of world,-1.4821005857042482
Rest of world,0.8828766001243946
Rest of world,-1.5396442371653154
Rest of world,-1.0219977925039916
Rest of world,-9.572268290751762
Rest of world,4.627599044143327
Rest of world,3.0210649083784245
Rest of world,7.002861919647952
Rest of world,1.450824324491141
Rest of world,-1.537271395139871
Rest of world,-3.6703314113936005
Rest of world,2.1735958354151106
Rest of world,3.936832596826346
Rest of world,-0.09194694778945545
Rest of world,3.162667461035252
Rest of world,15.349810484049787
Rest of world,-2.6091410288621932
Rest of world,0.9437450354658492
Rest of world,-1.0732082246008292
Rest of world,0.6268756646624749
Rest of world,0.32289457633768537
Rest of world,-0.03658652935919404
Rest of world,10.357854420511703
Rest of world,13.389220603205832
Rest of world,10.499417058753469
Rest of world,3.0386382900186146
