pathway,block,year,p05,p10,p25,p50,p75,p90,p95
accretion,Hedging middle powers,2035,226348.6,244059.3,278930.6,323254.9,375501.2,433739.0,476350.0
accretion,United States,2035,653208.9,703401.9,803057.0,939959.7,1149556.1,1485492.0,1741837.2
accretion,China,2035,429949.8,458986.4,508198.8,567783.9,632775.4,698439.4,741998.1
accretion,Rest of world,2035,441494.6,479696.0,548191.4,633156.5,729092.7,824476.8,885602.6
retrenchment,Indo-Pacific allies,2026,173528.5,175692.8,177153.7,178920.8,182386.7,184919.8,185574.3
retrenchment,NATO Europe,2026,536083.8,541183.7,549704.6,563244.9,573828.7,584569.7,623214.9
retrenchment,Hedging middle powers,2026,232018.4,235929.4,244187.0,258414.6,265027.7,269265.1,273518.1
retrenchment,United States,2026,801438.1,821148.6,851092.8,876531.3,921184.3,974442.7,1029916.1
retrenchment,China,2026,314268.6,339884.8,345929.4,352497.5,358884.1,384252.0,392732.2
retrenchment,Rest of world,2026,341167.0,348270.7,377669.6,392269.8,402773.3,429386.2,440598.3
retrenchment,Indo-Pacific allies,2027,174319.0,176202.3,179202.6,183037.9,186821.4,190440.4,192432.9
retrenchment,NATO Europe,2027,518012.4,527504.0,544477.2,564015.0,586385.9,619054.7,639415.4
retrenchment,Hedging middle powers,2027,223020.1,231572.9,244581.3,260383.8,275071.4,288105.5,307481.5
retrenchment,United States,2027,716881.8,743310.6,784954.0,833255.6,892696.4,969696.9,1088356.3
retrenchment,China,2027,321389.7,346625.5,359088.6,369566.4,388998.5,409985.8,418074.8
retrenchment,Rest of world,2027,352668.4,362874.9,387309.7,413404.4,438032.3,465696.6,477479.2
retrenchment,Indo-Pacific allies,2028,175053.3,177447.5,181565.0,186385.9,191465.6,195838.3,198736.3
retrenchment,NATO Europe,2028,504899.2,517517.6,539515.8,566582.3,599498.2,635042.1,663393.0
retrenchment,Hedging middle powers,2028,217460.8,227198.6,244513.1,263319.1,283364.4,304686.2,323437.3
retrenchment,United States,2028,654660.6,683951.4,733622.3,793683.3,866305.3,975485.3,1117549.1
retrenchment,China,2028,332593.8,349923.0,373783.9,390143.1,417421.1,438200.4,454406.9
retrenchment,Rest of world,2028,356953.3,374515.9,400290.0,436120.4,469816.2,502348.6,522297.6
retrenchment,Indo-Pacific allies,2029,175943.6,178955.0,184157.3,189933.9,195815.1,201596.6,204792.6
