quarter,ccy,flow_share_pct,source
2012-Q3,USD,23.865730454695566,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q4,USD,32.271119556823,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q1,USD,40.29756427672585,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q2,USD,26.076689721692066,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q3,USD,25.54447140215491,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q4,USD,30.24956845578896,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2014-Q1,USD,15.167003022205353,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2014-Q2,USD,31.77051684344584,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2015-Q2,USD,10.596744585118255,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q1,USD,-4005.477094395043,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q2,USD,42.55571372132092,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q3,USD,-11.064305306991958,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q1,USD,18.577547796401415,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q2,USD,14.081358918735443,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q3,USD,25.180774101309307,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q4,USD,8.73340046233496,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q1,USD,38.20847334054674,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q4,USD,-36.02229981082433,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q1,USD,35.60019253127544,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q2,USD,9.31451421397865,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q4,USD,5.808688643595657,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q2,USD,23.037853915020538,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q3,USD,7.45110931896048,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q4,USD,9.652029969398376,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q2,USD,23.925210744328588,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q3,USD,36.20216849581796,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q4,USD,-3.243932311814763,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2022-Q4,USD,6.449133443369242,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q1,USD,89.8161554228855,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q2,USD,-36.81669250963345,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q4,USD,21.013088862976208,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2024-Q1,USD,124.28262906616634,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2024-Q3,USD,13.681186472167692,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
