quarter,date,AUD,CAD,CHF,CNY,EUR,GBP,JPY,OTHER,TOTAL,USD
1999-Q1,1999-03-31,,,0.288142224166944,,18.1221470370837,2.74441713866842,6.03296977540481,1.62345483757504,77.1780443178892,71.1888689871011
1999-Q2,1999-06-30,,,0.242780802330429,,17.5747412726491,2.79289304441442,5.62710276209759,1.63655031441804,77.3485464051613,72.1259318040904
1999-Q3,1999-09-30,,,0.241139623481688,,18.3276090601898,2.79625957346672,6.24703597734313,1.70319953131544,77.2564503148857,70.6847562342032
1999-Q4,1999-12-31,,,0.229894413428983,,17.8987905769332,2.88665858331864,6.3737320025953,1.59699295032739,77.3938524700262,71.0139314733965
2000-Q1,2000-03-31,,,0.305566067237065,,16.534852958916,3.80565808850985,6.0029110889405,2.55445893594803,100.0,70.7965528604486
2000-Q2,2000-06-30,,,0.208569363826617,,16.7730469443933,3.27907174864619,6.82175009453778,2.24188751938297,100.0,70.6756743292132
2000-Q3,2000-09-30,,,0.228059718582468,,16.4219625327352,3.30999938865111,7.05327295071261,2.3435226069116,100.0,70.643182802407
2000-Q4,2000-12-31,,,0.300435722773635,,17.5370606971042,3.41293387565885,6.56175315722423,2.44748940816813,100.0,69.7403271390709
2001-Q1,2001-03-31,,,0.277286854191542,,17.225731705536,3.38776502267296,5.94147496357515,2.51766042420354,100.0,70.6500810298208
2001-Q2,2001-06-30,,,0.272253200877856,,17.1533756874137,3.12644789829308,5.79673624889796,2.25087615823107,100.0,71.4003108062864
2001-Q3,2001-09-30,,,0.25357370651392,,17.9664971397453,3.06928099864589,5.72330188514773,2.22398514804804,100.0,70.7633611218991
2001-Q4,2001-12-31,,,0.243598164527768,,18.405093873867,3.10724716877079,5.39521468267518,2.06518125619349,100.0,70.7836648539658
2002-Q1,2002-03-31,,,0.296080925755089,,19.0441646615479,3.29174476524937,4.69090120558893,2.16330812988654,100.0,70.5138003119722
2002-Q2,2002-06-30,,,0.286419187296188,,20.086257041822,3.25522443181557,6.21221818704142,2.35426193013926,100.0,67.8056192218856
2002-Q3,2002-09-30,,,0.303467291983549,,21.152324713009,3.58740482269655,5.779089914227,2.48405996983817,100.0,66.6936532882457
2002-Q4,2002-12-31,,,0.391308283066066,,22.923391556076,3.67276693852855,5.60352576564664,2.46982049758122,100.0,64.9391869591015
2003-Q1,2003-03-31,,,0.244837072749828,,22.6563577577068,3.49080344798615,6.08921334824294,2.90263130458794,100.0,64.6161570687263
2003-Q2,2003-06-30,,,0.221573258514436,,23.1257328345919,3.50409443990468,5.51034698106732,2.98636403142339,100.0,64.6518884544982
